
ТЕКУЩЕЕ ДЕРЕВО:
Яблоков;100;5;5;5;5;5;
Лебедев;101;5;4;5;5;5;
Котов;105;3;4;5;4;3;
Казанцев;107;3;4;5;4;3;
Гречкин;109;5;5;3;5;5;
Деревьев;110;5;5;5;5;5;
Маслов;111;3;4;5;5;4;
Орлов;112;4;4;4;3;5;
Анисимов;122;5;3;2;4;5;
Сидоров;125;5;3;2;4;5;
Петров;150;3;4;5;5;4;
Антонов;175;5;5;5;5;4;
Григорьев;176;5;5;5;5;4;
Степанов;180;3;4;5;4;3;
Якушкин;181;3;4;5;4;3;
Ворошилов;183;5;5;5;3;5;
Ворошилов;184;5;5;5;3;5;
Андреев;185;5;5;5;5;5;
Ворошилов;189;5;5;5;5;5;
Сидоров;190;5;5;5;5;5;
Попов;191;4;4;4;3;5;
Мальцев;193;5;5;2;5;5;

СФОРМИРОВАННОЕ ДЕРЕВО:
